Name;Date;Close/Last;Volume;Open;High;Low
BRK.B;06/02/2023;329,48;3962988;325,16;330,67;324,42
BRK.B;04/24/2023;326,05;2262391;324,43;326,39;324,3
BRK.B;04/25/2023;324,34;2554381;325,99;327,1;324,11
BRK.B;05/09/2023;324,87;2285924;324,87;326,88;323,48
BRK.B;05/03/2023;323,22;2660456;327,13;328,07;323,06
BRK.B;05/23/2023;323,11;4031342;328,19;329,27;322,97
BRK.B;04/19/2023;323,09;2410917;323,85;324,55;322,76
BRK.B;05/05/2023;323,88;3876299;323,36;325,16;322,62
BRK.B;04/27/2023;326,23;2951130;322,86;326,91;322,11
BRK.B;04/21/2023;324,33;2405869;322,36;324,85;321,61
BRK.B;05/12/2023;322,49;1938264;323,82;324,24;320,54
BRK.B;05/15/2023;323,53;2191609;322,89;323,83;320,13
BRK.B;05/24/2023;320,2;3075393;322,71;323;319,56
BRK.B;06/01/2023;323,12;3377699;321,42;323,22;319,53
BRK.B;05/31/2023;321,08;6175417;321,12;322,41;319,39
BRK.B;04/17/2023;323,79;3426342;320,2;323,98;319
BRK.B;04/26/2023;320,53;2721238;323,31;323,74;319
BRK.B;05/30/2023;322,19;3232461;321,86;322,47;319
BRK.B;04/14/2023;319,74;2976417;318,89;321,88;318,12
BRK.B;01/12/2023;318,93;3075151;321,15;321,32;317,72
BRK.B;05/25/2023;319,02;4251935;320,56;320,56;317,71
BRK.B;05/04/2023;320;3194768;323,44;325,99;317,41
BRK.B;01/11/2023;320,37;3001242;318,52;320,57;316,6
BRK.B;01/13/2023;317,64;2773650;317,49;318,42;315,79
BRK.B;01/09/2023;315,53;4399047;319,02;320,5;314,75
BRK.B;01/17/2023;314,86;3479442;318,4;318,52;314,25
BRK.B;04/12/2023;314,55;2663461;315,97;316,92;313,72
BRK.B;01/06/2023;318,69;3648810;315;320,16;313,38
BRK.B;01/10/2023;316,35;3050322;315;316,8;313,34
BRK.B;04/13/2023;318,05;3325989;315,27;318,81;313,26
BRK.B;03/06/2023;316,97;4892345;312,82;317,29;312,43
BRK.B;04/11/2023;313,7;3109850;312,56;315,94;311,77
BRK.B;01/04/2023;314,55;5122121;312;316,89;311,25
BRK.B;12/13/2022;312,33;5043156;318,4;318,91;310,82
BRK.B;03/07/2023;311,12;3610304;316,39;316,5;310,23
BRK.B;01/05/2023;312,9;3418149;313,57;314,23;310
BRK.B;02/13/2023;313,74;3261952;310,3;313,74;309,62
BRK.B;01/26/2023;310,95;2858754;312,99;313,68;309,58
BRK.B;04/06/2023;312,51;3132148;309,82;313,22;309,05
BRK.B;02/14/2023;310,79;2908849;313,78;314,1;309,04
BRK.B;03/03/2023;312,45;4493702;309,56;312,66;308,5
BRK.B;12/14/2022;309,29;4057911;312,74;316,35;308,4
BRK.B;01/27/2023;309,17;3034223;309,79;311,73;308,34
BRK.B;02/02/2023;311,86;4430266;312,35;312,6;308,3
BRK.B;02/15/2023;309,63;2411819;309,98;310,37;308,28
BRK.B;04/03/2023;310,31;4863537;309,25;311,5;308,24
